image,EN,AG,SF,MI_IR,MI_VIS,SSIM_IR,SSIM_VIS,SCD,VIF
00000.png,6.906880881693648,9.7308503572518,24.187150400270266,1.3066471069236587,1.3599253083040692,0.4914753095197947,0.7879765537118111,0.22331808790201446,0.13252275778072475
00011.png,6.835760469636971,9.575024099563535,23.896965309017634,1.272206719767504,1.3082054222918948,0.5021229288642084,0.7872524080573138,0.2848856191316838,0.13634362862677543
00025.png,6.7604619328596245,7.007388504583008,18.807962696270792,1.408200842142843,1.451871348976494,0.5262975012076727,0.8461145880905201,0.7431943758870878,0.13268713736179638
00031.png,6.808855081801279,7.258612352700668,19.94782525064806,1.4758893934448447,1.5979049175669937,0.5166753485346071,0.8394344454228331,0.694727718159167,0.12617302298696176
00033.png,6.818345183239441,9.2485525215513,23.413024475140528,1.2586772499798937,1.3396085190582654,0.5253835329474622,0.7890734298003479,0.3500099480759565,0.14694767290771465
00042.png,6.788023036378822,8.291264002087134,22.405150022908117,1.4214932943928125,1.5824077058891892,0.4780700896236864,0.8357685326381866,0.7005083818163149,0.1110825025593977
00061.png,6.7786769726942415,6.720611433933473,20.172995305192863,1.4989377790512135,1.6797988877222525,0.5230620792769654,0.8772131324742792,0.8174588470361547,0.10400718424333369
00071.png,6.740268846365053,6.308744071529745,19.350581940760293,1.5263441768240844,1.7553063637267021,0.5089977950933209,0.8917789756118482,0.9183231854057631,0.08606054713955631
00082.png,6.802068963335697,8.240194792375137,19.979035044241243,0.8040658269937122,1.508379180435676,0.4730705727601783,0.8287950729863951,0.7164084365516958,0.11204435252284715
00097.png,6.3643820586348925,6.275432315706648,16.662530890046828,0.9619702310205311,1.5273706251659314,0.49171904895107416,0.885652969656302,0.9604375951390247,0.0705512259702344
00107.png,6.8044278905188005,9.05142971911962,21.574744676198076,0.7874776944940491,1.3919549263192548,0.44241379024280364,0.8473623273632991,0.5247736101873147,0.09758635791950329
00112.png,6.849085572049647,9.452507389433705,23.86902354363225,1.0404241829960443,1.5697332086435631,0.38378367397742413,0.8509944637800477,0.6215787393058869,0.07586220605274449
00118.png,6.834415620054186,9.0419815515267,22.88512245230212,1.0789385985987698,1.2645909155433306,0.417879470346243,0.8156751029394472,0.44566648676729825,0.09712681478456668
00147.png,6.904250532594756,8.313092764126038,21.779236815141157,1.1483226650668283,1.7486993456067685,0.4690940454274277,0.8619219182191858,0.6285694309774752,0.10481871208739209
00149.png,6.8352723410194525,8.574902580641213,21.83970542024634,1.2952085310731414,1.4959217403268756,0.49734237440730417,0.8119127257239296,0.230398439562833,0.17740073306681675
00150.png,6.901262185599404,9.262908303100897,22.97470402687593,1.2034064977504946,1.5902899259214622,0.4881150668888733,0.8129565685905839,0.282015060311178,0.1689935764348493
00159.png,6.636829774670784,7.433252176542587,19.091970950622457,1.1354170557746863,1.5263727204369855,0.5074191568578538,0.8091988930490334,0.30438540488018456,0.15723278109525354
00177.png,7.073218004211477,9.333120077739913,22.11416422095071,1.1366927069662849,1.6060472728239554,0.46310176509967377,0.7961623674311537,0.3360059277245527,0.15738180060867812
00196.png,7.171737655734837,14.443979826510539,31.73162390868694,0.9480508353177096,1.699007063948866,0.2607360019746807,0.8624168444531876,0.34978508888818727,0.1038496886886496
00202.png,6.968733002468842,9.748727703173095,24.85203177721859,1.130726165554424,1.7636426871251705,0.4284419178247094,0.8358342138707915,0.5734446276423708,0.1306316513416455
00210.png,6.704817266365201,7.959721879011445,20.966412215170973,1.1875030817456143,1.6026841752475551,0.5074190960700208,0.7870471925620605,0.3186664508051068,0.2235367266919724
00215.png,6.876473559406342,8.757593460931277,22.631657630039683,1.1305667589519597,1.7071632846959945,0.4957725410114879,0.773229236728822,0.23742465595229167,0.23631112912802085
00232.png,6.688897613362706,7.82593580111592,19.977320167590833,1.0135409342800838,1.5805130410495043,0.49399147882876165,0.8307246144975508,0.24851122340786752,0.16264084087344224
00242.png,6.611362513459279,6.046725378517567,17.128460989179477,1.1633301050847902,1.650133454796015,0.5434344495238815,0.8509537439374628,0.5047758459359074,0.16004720080867377
00255.png,6.500340063959899,4.695236201592716,13.329148201937576,1.0779717010450691,2.1517089462749293,0.6618138944750314,0.8815610696053533,0.7615580195542326,0.18940968080351048
00274.png,6.5548497788223825,5.047875492697097,14.216468115754859,1.072019133110042,2.1538720009456465,0.6363233931472304,0.8528394970229319,0.7514219189403091,0.1963680163751568
00284.png,6.515874364042709,4.925635140667781,14.167770465937476,1.117770327975023,2.13156826513556,0.658118633705529,0.8541726793610372,0.7496850530893943,0.19665727457842255
00290.png,6.478607501374315,4.910865076992038,14.05235690841122,1.0578176302056783,2.0713340657665706,0.6499062648201077,0.8539161031628761,0.746307317834412,0.21798920393640345
00306.png,6.479271536558822,4.973784963632084,14.232263428700353,1.1098833854363868,2.0295628044135707,0.649865162060873,0.8484871374597022,0.732845787058605,0.2090734762693194
00320.png,6.658002560565669,6.197777525383393,16.404900387999803,1.187046251605483,1.9814020323479187,0.5791514918167514,0.8541140608058381,0.8323807074436342,0.17933803207147023
00325.png,7.458815220185195,3.004658706738374,7.7265794914214725,4.05905869543828,0.8277144395492165,0.8673730529634431,0.5432757350106513,1.0591426278141525,0.650261648170393
00334.png,7.376329015709846,2.7269516790233803,7.381812863515356,4.200212675359152,1.3002938997851814,0.9375850644176759,0.632287740975146,0.2891483741046291,0.6543402641428177
00339.png,7.150707503251492,3.565991329410952,10.397101724264598,2.5475790949006587,1.015473545926802,0.8369690458025042,0.7491215725316036,0.2881015209707074,0.4758555608177921
00349.png,6.880283397609671,6.147837446906324,17.220143688481834,1.0381881791676992,1.4281071553773526,0.686105213953473,0.7268767299613272,0.9560943583427084,0.24288528291715006
00353.png,6.868855727395011,6.119250574302281,17.1420003816163,1.0229432778386363,1.4350871210756388,0.6821889754236493,0.7280949680149199,0.9620044474369315,0.23964839060411464
00370.png,6.870570055567345,6.194070669210556,16.991400019785093,1.0155292009633667,1.4408391559679068,0.6685186484301964,0.7356265445063103,0.9508525078946662,0.23151162498125893
00385.png,6.871951945659914,5.965584592299549,16.121740721679494,1.089623702953202,1.4035548628786307,0.6897581598855329,0.7202808678629219,0.898490224855378,0.24466874637307287
00386.png,7.099173067444053,6.628964858805007,19.43488925471759,1.7627976642605951,1.2511466964336995,0.7766943800105902,0.7122253396681348,0.1881339708899069,0.4048939021245085
00388.png,7.004301100570689,5.725897662008608,18.32853226462747,1.375980520549205,1.4580001242359955,0.7781380647523498,0.6857302540290008,0.02197633684249345,0.3788044389738528
00389.png,6.983385305889414,5.865422737736693,18.67452989473137,1.6380020643048976,1.3226912291740172,0.7965394682686951,0.6952957159850499,0.18127289526775336,0.4256483546696238
00390.png,6.990419924693927,5.6786871700696,18.509157858539997,2.0128144167770934,1.2381417926190799,0.8206533373130412,0.7154174211576821,0.33994408418647115,0.45755183263838245
00400.png,7.070887557935633,7.553621320121717,21.415353635266673,1.6264520558758844,1.0679575140922504,0.6975288313214612,0.7390335359247218,0.09989548478303656,0.3212174006050669
00405.png,7.0291356508917735,7.578365233805708,22.66203534991904,1.6769880159206876,1.1470463365405144,0.7397783159868802,0.7175649617983698,0.10243310305939335,0.35287430796528124
00409.png,7.021819708507404,6.143848311520375,17.521771733514065,2.051980942739034,1.3538230362956198,0.7739548129967534,0.7462822845565398,0.14288804834988078,0.4000796772541932
00419.png,7.097090321049734,5.509678866817267,15.156942449312284,2.605697747350889,0.9636940996057991,0.7876165909279486,0.7038815600081413,0.3801701706273499,0.3857225596924361
00421.png,6.915945952061028,6.258823436054948,17.456271082981868,1.7323039305009207,1.6533389332898265,0.7177846447501385,0.7732070926380118,0.07189873628667143,0.31887354196978285
00434.png,7.084698912174346,5.8138486039886015,16.126812483635845,1.8706419220079047,1.5459178108714706,0.7664416971461827,0.7468381364352533,0.09035593814682841,0.3974513688609026
00441.png,7.068520772401043,5.153537831277901,15.929933324885392,2.9481540149512924,1.0920663386206002,0.8445213437582485,0.7098866094871253,0.3425760357337919,0.4795042623633354
00443.png,7.230883723508162,6.052397377163325,15.859101194149511,2.840929915930559,0.9617160468902142,0.785438935632139,0.6681373944496888,0.41726959747712633,0.43094705391728977
00449.png,7.084017333856409,4.435459759697786,13.77307388850562,2.979164122597637,1.0942636263316545,0.8776775047114238,0.697457737653764,0.3326726022482229,0.5445523524443037
00453.png,6.623985863023509,5.078062713631588,14.006917933649786,1.8161895002485315,0.9751360406292129,0.7883216640643527,0.7302998406837948,0.2677201719840937,0.416729324077806
00461.png,6.728793320932374,5.203124561243051,15.199206736427618,1.88298902701022,1.188042780059712,0.7722094052461287,0.7364959260978643,0.22144326873972586,0.3954888260132787
00479.png,7.22617767700043,6.438029322902958,17.874560789201585,2.4369499202087295,1.3462099902679818,0.7878268942651179,0.7056609692282058,0.15391573404826953,0.43430534926847936
00489.png,7.109174876304614,5.197224819802633,16.274104953401086,2.6164498510146204,1.1206391921335674,0.8338114212350882,0.735991436043382,0.37599576650767974,0.4532208105756126
00497.png,7.1467762361307114,5.687035571921389,16.83530871369142,2.8446843418316363,1.0137726750177525,0.8230614356958987,0.6992328155191299,0.2963271620087867,0.4787367078179976
00512.png,7.38906456215456,8.951143424816346,23.038702917218302,2.111463279500474,1.8864249997026907,0.6973051559611997,0.5828404584428212,0.006522718701158614,0.35051673421263113
00525.png,7.370613194687042,7.72301517709921,21.41504426123804,2.4293156831162106,1.5369486344993288,0.7346366182487124,0.624660415088963,0.08567119281568802,0.39776616513111385
00527.png,7.460669293279888,8.01392382442348,21.826432428904397,2.2530636931467676,1.625899718399753,0.7171858129389019,0.5638549538049529,0.14580551923001217,0.38572981577663956
00537.png,7.07893532039865,6.6034371707390696,19.978673908744813,2.3605493892564375,1.291524339038488,0.7998204680449124,0.7565718324478712,0.18209302570200603,0.33798410407745194
00555.png,7.008893359375365,6.916228559604059,20.355866226432894,2.231658139749703,1.2023738732388078,0.755510521588256,0.7691030234521585,0.17376365642003844,0.31124876941075313
00572.png,6.9545037835171595,6.168177578256404,18.98854425996751,2.6352762988619816,1.0993706284335438,0.8189172864312685,0.7459014994775851,0.3288795173996366,0.38135660528964543
00587.png,6.891093814535971,3.637142831012828,11.899625524467107,3.331245598384769,0.8219243138523569,0.9065424386235285,0.7091575561106528,0.42879910648249975,0.5180178301960876
00606.png,6.988887480806358,4.28977551570491,13.657249565204353,3.284292010343471,0.79952565471714,0.9137596003668506,0.682801294813033,0.5401317676854538,0.5238604417495472
00621.png,7.105906515618285,4.509559781232682,14.429000235432726,3.4544889511964407,1.0049272194009975,0.9039951385736621,0.6799024668485942,0.43938930292344425,0.5196252841809784
