image,VIF,SCD,QABF,MS-SSIM,FMI
1.bmp,0.019334097019512907,1.7479881735409006,0.9758120144261684,0.3533666397986673,0.3777087076870377
2.bmp,0.01956609195975024,1.7463538674747243,0.9733922900558452,0.34975076902620317,0.38325133390624644
3.bmp,0.019691705021386535,1.744469975490196,0.9870885376792065,0.3437928352926026,0.39450175944123256
4.bmp,0.019787799320610026,1.7380426145067402,0.9757951076663008,0.33733405807597727,0.3931166438259676
5.bmp,0.02032921812588847,1.7417856253829656,0.9713071239041962,0.3438740493901731,0.3886789846260817
6.bmp,0.019617178951862158,1.7359339695350797,0.9626298345702774,0.3393721382050829,0.3895844253839605
7.bmp,0.019325438134775226,1.7385498046875,0.9713493358485097,0.3349363187768809,0.3913431858944364
8.bmp,0.019451863203901007,1.724696679208793,0.9386670547881825,0.33820284512599463,0.38382619581944294
9.bmp,0.01947991762097756,1.747924685010723,0.9736164626095062,0.3429295467936091,0.3817188620590304
10.bmp,0.019935875262249464,1.7367634492761947,0.9600933909114541,0.33809756718357087,0.38889809936720443
11.bmp,0.019388277875339095,1.7463232302198224,0.9785546017636305,0.34720105150950514,0.38303485254792363
12.bmp,0.01997963544633597,1.7414735681870406,0.973437170311077,0.3411293301339061,0.3893882652707231
13.bmp,0.019686912742206256,1.7467873367608762,0.9754843808323974,0.3483571632268048,0.3851318700850961
14.bmp,0.019618285557494317,1.7454568301930147,0.9893709589454758,0.3479300754669207,0.38649550063438454
15.bmp,0.01959713716891628,1.7477409811580882,0.9796372860240992,0.3501602987982194,0.3769351820527194
16.bmp,0.019630201229308242,1.748196231617647,0.980790119100233,0.3466507581528878,0.38443135657066907
17.bmp,0.01927057524334229,1.7460408528645832,0.9759178223260178,0.348015825376653,0.3798535369770324
18.bmp,0.020023611963795762,1.7463172463809742,0.9762776633015496,0.3493961195308496,0.3839704557307852
19.bmp,0.018720982151528405,1.735514622108609,0.9516506534247716,0.3301359313024046,0.3909609795372514
20.bmp,0.01893633480271572,1.747982728247549,0.994256121369943,0.3494126587854534,0.37960397591885986
21.bmp,0.018754230145266896,1.735775696997549,0.9643230578027195,0.33105194156373013,0.3961459280757508
22.bmp,0.019485570854377715,1.7481307684206495,1.0147713072246587,0.35353058990311076,0.38161163460546277
23.bmp,0.018351665730641627,1.7467942181755514,0.9736831940567479,0.34373335114961745,0.38217001555435237
24.bmp,0.018863352240558427,1.7400214700137868,0.968010326788463,0.34014719686833095,0.3912548087654326
25.bmp,0.019194613181040814,1.7377579034543504,0.9685752623970316,0.3380951198551385,0.39054664432836955
26.bmp,0.019395518056282653,1.73450652477788,0.9629795474149337,0.33505504273727793,0.391489432846501
27.bmp,0.01934716587887384,1.738578826305913,0.9709540978534846,0.3366018576555392,0.39112204183857346
28.bmp,0.018798529665154728,1.7340858010684743,0.9645017826716508,0.3281817710124584,0.3874740931089187
29.bmp,0.018473511834548074,1.732205020680147,0.9569290481597303,0.3230214728846005,0.3946645568511251
30.bmp,0.018606038576890603,1.746303902420343,0.9872058879988841,0.347802813973338,0.3773633243318578
31.bmp,0.019103853303865527,1.7460318771063112,0.996671024687933,0.34040113948592843,0.3861631478321792
32.bmp,0.021042716923242142,1.643066286573223,0.8692011775686829,0.38928291873741516,0.3616999771733299
33.bmp,0.02137355184701486,1.628370636584712,0.8611736331206019,0.38539441038895395,0.3650671315191317
34.bmp,0.020250934905589463,1.6427469889322917,0.8737726844319503,0.3819684216286136,0.3593072405369473
35.bmp,0.02059104987225782,1.6614649753944546,0.8927167564666572,0.4003707058045929,0.35866214010624675
36.bmp,0.02070132192210024,1.6508832146139705,0.8727036416276248,0.39189804095973174,0.35879382507764795
37.bmp,0.020749887989830056,1.6534009746476714,0.8738398107281231,0.3916381753200011,0.3573912546503293
38.bmp,0.019975969464788905,1.6512597177542891,0.8823459714969003,0.38369682604280864,0.35653676599861267
39.bmp,0.020165220548587236,1.6562135584214155,0.8820464385805831,0.39108985474474867,0.35736865017922864
40.bmp,0.022297549560414527,1.6439147350834866,0.8741578693059184,0.40273493272330263,0.35359616478669875
41.bmp,0.02542497045952332,1.6469975490196078,0.8730593964328345,0.415413386388124,0.29066057887878594
42.bmp,0.020661695787830687,1.5909332873774509,0.8042773348754572,0.345434904127353,0.2834076454857943
43.bmp,0.02026934280864257,1.585957904890472,0.7933391670784735,0.34138513699303275,0.2761404663903627
44.bmp,0.021695553589393686,1.5947049608417585,0.7885882052629625,0.34447449026097415,0.27223038883322936
45.bmp,0.02269957717100403,1.6314310111251533,0.7996463325798189,0.364579045113238,0.26089236618278466
47.bmp,0.021957777914847165,1.6380196964039522,0.8095583519562075,0.36751183567319595,0.2496205074616673
48.bmp,0.021710969552848264,1.6097387575635724,0.7825523809011168,0.3473874835509193,0.24779051331616525
50.bmp,0.032179576105086136,1.6384513705384498,0.5580204319748482,0.29539664843531216,0.3102403138267075
51.bmp,0.03047420317122555,1.6512430228439032,0.5768514143553752,0.3042649049033823,0.3056612310577701
52.bmp,0.030813537951044967,1.629184019799326,0.546183484377937,0.28587097680863083,0.31003960906021716
53.bmp,0.03170517552202812,1.630807195925245,0.5406413130151148,0.28734704510350806,0.3101993561410739
54.bmp,0.031197762453780357,1.617073029162837,0.5222420024977797,0.27988146602287456,0.31823420983777195
55.bmp,0.031105673236995514,1.6344936595243567,0.5472941203061611,0.28752193833680323,0.3106591465539523
56.bmp,0.03158472291042765,1.6368064730775123,0.5532920445377062,0.2849175518595018,0.3033958906406938
57.bmp,0.03263711469304138,1.6292172301049326,0.5436734185585482,0.28129894045253256,0.31745621279346453
58.bmp,0.03118311364409919,1.6254194671032476,0.5446079891020779,0.2727810793186366,0.31938276833798673
59.bmp,0.0333577564014091,1.6433809766582415,0.5682934976986588,0.29720759270742436,0.31776370182406766
60.bmp,0.0318845017233344,1.6432571710324755,0.5632663758728482,0.2878772816099579,0.31596495981087
61.bmp,0.03275950187528094,1.6263695810355392,0.5372835731516608,0.2787146652568027,0.31499544617217257
62.bmp,0.029221610159721155,1.6711648978439033,0.8836377033143478,0.4483585893449704,0.25819027775913705
63.bmp,0.032794228526701184,1.6352741914636948,0.5520828655049042,0.280292379042302,0.31435319064550427
64.bmp,0.033088837323141045,1.63846238080193,0.5534156293482745,0.27653448179855045,0.3168534499250093
65.bmp,0.03268815217450941,1.6422930549172794,0.5601729154528966,0.2813872229001225,0.3206485998394498
66.bmp,0.0320605219132184,1.6426633947035847,0.5568482775346749,0.27588251444633954,0.3169062667688581
67.bmp,0.03328491663903967,1.6381948433670344,0.5511380729979403,0.27903619436495486,0.3197081937170152
68.bmp,0.032091352920300235,1.6330350988051472,0.5467353022554976,0.2712053259902557,0.31807309853359444
69.bmp,0.032492122498784845,1.6445132386450674,0.565008622866878,0.28104373738873234,0.3202017517356415
70.bmp,0.0319692215738006,1.6554257261986827,0.5767049167385901,0.28959442399644764,0.31596283929361885
71.bmp,0.03166527855494043,1.6337012197457108,0.5487046338845458,0.2714621840696496,0.31927006070842046
72.bmp,0.010947271368650566,1.7205266017539829,0.9799682062139695,0.2582160585824824,0.24822521629711614
73.bmp,0.021422614618146867,1.6038029091030943,0.8769221871449703,0.16050458339792992,0.5347984022374659
74.bmp,0.02068222333788407,1.7163887771905637,0.7188294720740405,0.5010325888656473,0.3560722859806781
